name;Gender;Eye color;Race;Hair color;Height;Publisher;Skin color;Alignment;Weight;Agility;Accelerated Healing;Lantern Power Ring;Dimensional Awareness;Cold Resistance;Durability;Stealth;Energy Absorption;Flight;Danger Sense;Underwater breathing;Marksmanship;Weapons Master;Power Augmentation;Animal Attributes;Longevity;Intelligence;Super Strength;Cryokinesis;Telepathy;Energy Armor;Energy Blasts;Duplication;Size Changing;Density Control;Stamina;Astral Travel;Audio Control;Dexterity;Omnitrix;Super Speed;Possession;Animal Oriented Powers;Weapon-based Powers;Electrokinesis;Darkforce Manipulation;Death Touch;Teleportation;Enhanced Senses;Telekinesis;Energy Beams;Magic;Hyperkinesis;Jump;Clairvoyance;Dimensional Travel;Power Sense;Shapeshifting;Peak Human Condition;Immortality;Camouflage;Element Control;Phasing;Astral Projection;Electrical Transport;Fire Control;Projection;Summoning;Enhanced Memory;Reflexes;Invulnerability;Energy Constructs;Force Fields;Self-Sustenance;Anti-Gravity;Empathy;Power Nullifier;Radiation Control;Psionic Powers;Elasticity;Substance Secretion;Elemental Transmogrification;Technopath/Cyberpath;Photographic Reflexes;Seismic Power;Animation;Precognition;Mind Control;Fire Resistance;Power Absorption;Enhanced Hearing;Nova Force;Insanity;Hypnokinesis;Animal Control;Natural Armor;Intangibility;Enhanced Sight;Molecular Manipulation;Heat Generation;Adaptation;Gliding;Power Suit;Mind Blast;Probability Manipulation;Gravity Control;Regeneration;Light Control;Echolocation;Levitation;Toxin and Disease Control;Banish;Energy Manipulation;Heat Resistance;Natural Weapons;Time Travel;Enhanced Smell;Illusions;Thirstokinesis;Hair Manipulation;Illumination;Omnipotent;Cloaking;Changing Armor;Power Cosmic;Biokinesis;Water Control;Radiation Immunity;Vision - Telescopic;Toxin and Disease Resistance;Spatial Awareness;Energy Resistance;Telepathy Resistance;Molecular Combustion;Omnilingualism;Portal Creation;Magnetism;Mind Control Resistance;Plant Control;Sonar;Sonic Scream;Time Manipulation;Enhanced Touch;Magic Resistance;Invisibility;Sub-Mariner;Radiation Absorption;Intuitive aptitude;Vision - Microscopic;Melting;Wind Control;Super Breath;Wallcrawling;Vision - Night;Vision - Infrared;Grim Reaping;Matter Absorption;The Force;Resurrection;Terrakinesis;Vision - Heat;Vitakinesis;Radar Sense;Qwardian Power Ring;Weather Control;Vision - X-Ray;Vision - Thermal;Web Creation;Reality Warping;Odin Force;Symbiote Costume;Speed Force;Phoenix Force;Molecular Dissipation;Vision - Cryo;Omnipresent;Omniscient;Power Count
Captain America;Male;blue;Human;blond;188.0;Marvel Comics;-;good;108.0;True;False;False;False;False;True;True;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;10
Captain Atom;Male;blue;Human / Radiation;Silver;193.0;DC Comics;silver;good;90.0;True;True;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;True;True;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;27
Captain Britain;Male;blue;Human;Blond;198.0;Marvel Comics;-;good;116.0;True;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;10
Captain Cold;Male;brown;Human;Brown;-99.0;DC Comics;-;neutral;-99.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2
Captain Epic;Male;blue;-;Brown;188.0;Team Epic TV;-;good;-99.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;3
Captain Hindsight;Male;-;Human;Black;-99.0;South Park;-;good;-99.0;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;3
Captain Marvel;Female;blue;Human-Kree;Blond;180.0;Marvel Comics;-;good;74.0;True;True;False;False;True;True;False;True;True;True;False;True;False;False;False;True;True;True;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True;True;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;33
Captain Marvel;Male;blue;Human;Black;193.0;DC Comics;-;good;101.0;True;True;False;False;True;True;False;True;True;True;False;True;False;False;False;True;True;True;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True;True;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;33
Captain Marvel II;Male;blue;Human;Black;175.0;DC Comics;-;good;74.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;6
Captain Midnight;Male;-;Human;-;-99.0;Dark Horse Comics;-;good;-99.0;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;4
